"","title","point","review"
"171","미스터 존스","6","이런류의 이야기는 이젠 한계가.."
"172","극장판 귀멸의 칼날: 무한열차편","10","마지막 결투신만 볼테니까 3천원에 티켓 해줘요"
"173","용의자 X의 헌신","10","이시가미에게만 10점을"
"174","당갈","10","아미르캰의 영화는언제나 최고다"
"175","시간의 끝에서 널 기다려","9","저런 맹목적 사랑이 정말 있을까?어린시절엔 엄마가 전부인데 엄마를 잃은 아이에게 철없는 친구들의 괴롭힘. 그때 손잡아준 여자애는 구원자였고 희망이었고 행복이었겠죠. 각인된 오리처럼 무조건 따라간 감정이었으니까 그 사람을 잃고선 살 수 없었던게 아닐까.. 자신의 삶을 다 내어주고서라도  시간을 돌리고 싶었던.. 그 남자의 사랑에 가슴이 먹먹해져 옵니다"
"176","미나리","9","우리나라도 이런 영화가 나올련지"
"177","007 골든 아이","8","페테르스부르크를 뒤집어엎는 제임스본드.구소련 때는 상상도 못할..티나 터너가 주제가 불러. 골든 아아이~"
"178","협상","9","영화잘봐습니다손예진누나좋아합니닫"
"179","협상","9","영화잘봐습니다손예진누나좋아합니닫"
"180","세자매","10","인내 인내 참아라 참아라 쩐다 쩔어~ 쩔어 와 짜증 극기훈련 ~ 환장해"
"181","미나리","8","음악이 잔잔하고 데이빗 넘 귀엽습니다"
"182","꾼","10","넷플릭스에 있길래 우연히 봤는데 생각보다 넘 재밌네요. 마지막 엔딩 장면보니 시즌2도 나올것 같은데.. 제작 예정이시라면 빨리 크랭크인 해주셨으면 좋겠네요.. 넘 재밌게 봤습니다!"
"183","꾼","10","넷플릭스에 있길래 우연히 봤는데 생각보다 넘 재밌네요. 마지막 엔딩 장면보니 시즌2도 나올것 같은데.. 제작 예정이시라면 빨리 크랭크인 해주셨으면 좋겠네요.. 넘 재밌게 봤습니다!"
"184","변신","10","엔딩 음악만이 구슬프고 서글프다."
"185","기생충","1","너무 별론데...  봉준호..  설국이나 기생충같은 억지로 교훈 줄려는 영화 그만 만들고.. 살인의 추억 같은 영화를 만들어라.."
"186","미나리","8","영화 좋았습니다 함께 힘내서 살아가는모습이 위로가 됐네요"
"187","미나리","8","어려운 시대를 담담히 풀어나갔거 같습니다."
"188","미나리","8","어려운 시대를 담담히 풀어나갔거 같습니다."
"189","미나리","9","영화 도입부부터 나오는 OST 영화에 빠져든다. 척박한 땅을 개척해 나가는 모습~ 우리민족이라는게 자랑스럽다."
"190","동네사람들","6","원빈아저씨가 지켜주어 잘자란 김새론이 마동석아저씨 만나는 영화"
"191","이터널 선샤인","9","22살때 봤을땐 뭔 내용인지도 모르고 이게 왜 명작인가 싶었는데 딱10년후 32살때 다시보니 전부 이해간다 왜 명작인지 알겠다"
"192","이터널 선샤인","9","22살때 봤을땐 뭔 내용인지도 모르고 이게 왜 명작인가 싶었는데 딱10년후 32살때 다시보니 전부 이해간다 왜 명작인지 알겠다"
"193","장난스런 키스","6","관객들에게 장난스럽게 로맨스."
"194","당신을 오랫동안 사랑했어요","10","아 너무 좋다... 프랑스 영화는 영상미만 예쁘다고 생각했었는데.. 잔잔한 흐름도 마음에 들었고 나오는 비지엠들마다 다 좋았음.. 영화 크레딧이 올라가고 비지엠 듣고 싶어서 끝까지 본 영화"
"195","미쓰백","9","세상안 아무리 지옥같은 인생이라도 사랑의  구원자는 있었다. 사랑이란...장면, 장면중 보는내내 가슴이 아파 결국 눈물을 남겼다.연출, 연기, ost 다 좋음!"
"196","미나리","6","오늘 미나리 영화 개봉해서 넘좋네 조만간에 영화 보러 올것 요즘 코로나 땜에 영화 보러 가지 못했음 코로나가 얼른 끝나기 바람 ㅋㅋ"
"197","미나리","6","오늘 미나리 영화 개봉해서 넘좋네 조만간에 영화 보러 올것 요즘 코로나 땜에 영화 보러 가지 못했음 코로나가 얼른 끝나기 바람 ㅋㅋ"
"198","극장판 귀멸의 칼날: 무한열차편","10","휴... 빨리 다음편 마렵다구요!! 넷플릭스에서 무한열차 전까지 다 나와서 이틀밤 세서 보고 얼릉 영화보구 뒤에 이야기는 만화로 다 봤습니당  스토리는 물론 너무 좋지만 영상미가 완전 눈이 즐거우요. 너무 재밌었어요"
"199","그린 북","10","그린북 열번 정도 봤습니다. 다들 꼭 보시길 바랍니다"
"200","블랙 호크 다운","10","내 인생 최고의 전쟁영화다.꼭 보시길~~~"
"201","북스마트","4","굳이 끼워넣은 동성애코드는  꼭 이영화 내용전개에 필요했나  싶음그것도   쥐같이 생긴  남자초딩 같은  여자애를  쿨하다면서  반하는게  너무 어이없었음200석  영화관에서   나포함  두명이서 봤는데  십오분쯤 지나니까 다른분이 나가서  나혼자보는데  어두운데 나혼자있으니 좀 무서웠음"
"202","극장판 귀멸의 칼날: 무한열차편","10","아말해뭐해가나다라마바"
"203","해피 투게더","10","너무나 복합적인 영화인거같다."
"204","미나리","10","윤여정 배우님 연기 정말 최고입니다."
"205","블레이드 러너 2049","10","이제야 구매해서 봤는데 영화관에서 못본게 너무너무 안타깝네요... 영화관 스크린에 사운드로 봤으면 지렸을듯..ㅠ"
