"순서","시군구코드","하천/호수일련번호","하천/호수명_한글","하천/호수명_영문","위도","경도"
"49","11590","6","하천"," ","37.5018538","126.9767624"
"51","11500","17"," "," ","37.5866064","126.799624"
"1","11260","2","태릉천"," ","37.6162163","127.092226"
"3","11530","10"," "," ","37.4888602","126.8245386"
"6","11530","22"," "," ","37.4826002","126.824531"
"7","11110","10"," "," ","37.5814573","127.0014839"
"8","11110","21","구기천"," ","37.6110893","126.9577034"
"9","11260","6"," "," ","37.6115314","127.0736246"
"11","11260","9"," "," ","37.606618","127.1046819"
"12","11260","11","중랑천"," ","37.5941528","127.0729209"
"13","11305","2","우이천"," ","37.6612449","127.0073942"
"14","11305","1","우이천"," ","37.6697535","127.006456"
"15","11305","4","우이천"," ","37.6424188","127.0329051"
"16","11305","7"," "," ","37.6475055","127.0066634"
"17","11305","9"," "," ","37.6407503","127.0073753"
"19","11305","11"," "," ","37.6405289","127.0072784"
"20","11305","12"," "," ","37.6403226","127.0073289"
"22","11740","20"," "," ","37.5478808","127.1781231"
"23","11740","24"," "," ","37.5357731","127.1537063"
"25","11680","25","한강"," ","37.5279795","127.0381358"
"28","11380","25"," "," ","37.6378578","126.9359509"
"31","11110","5"," "," ","37.5828105","126.9931217"
"129","11215","10"," "," ","37.5498334","127.0767609"
"132","11140","1"," "," ","37.5656898","126.9765879"
"134","11305","15"," "," ","37.6159247","127.0169176"
"135","11740","19"," "," ","37.5487465","127.1592811"
"136","11740","25"," "," ","37.5342266","127.1518433"
"137","11740","27"," "," ","37.5610071","127.1397985"
"138","11740","28"," "," ","37.5349474","127.1548636"
"140","11740","13"," "," ","37.563688","127.1580182"
"142","11215","11"," "," ","37.5500755","127.0994774"
"143","11650","1","여의천","Yeouicheon","37.4548563","127.0535214"
"144","11215","24"," "," ","37.5616051","127.1132616"
"146","11680","9"," "," ","37.4826433","127.0956081"
"148","11305","8"," "," ","37.6416262","127.0037294"
"151","11545","1"," "," ","37.4828222","126.8752057"
